"station id","time","type","station name","station latitude","station longitude","bike_id","current bike count","initial bike count"
"3679","2019-09-01 04:02:44.4880","1","Bergen Ave","40.722103786686","-74.0714550018311","26271","13","11"
"3194","2019-09-01 04:22:14.0670","0","McGinley Square","40.7253399253558","-74.0676221251488","29453","25","28"
"3225","2019-09-01 04:23:35.2940","1","Baldwin at Montgomery","40.7236589","-74.0641943","29453","12","11"
"3677","2019-09-01 04:32:27.6010","0","Glenwood Ave","40.7275514673001","-74.0710607171059","29207","9","10"
"3640","2019-09-01 04:37:50.3420","1","Journal Square","40.73367","-74.0625","29207","7","10"
"3220","2019-09-01 04:40:03.0650","0","5 Corners Library","40.7349610200095","-74.0595030784607","26280","13","15"
"3206","2019-09-01 04:43:18.9920","1","Hilltop","40.7311689","-74.0575736","26280","20","18"
"3640","2019-09-01 05:22:53.6110","0","Journal Square","40.73367","-74.0625","29207","6","10"
"3677","2019-09-01 05:30:13.5040","1","Glenwood Ave","40.7275514673001","-74.0710607171059","29207","10","10"
"3194","2019-09-01 06:07:41.9260","0","McGinley Square","40.7253399253558","-74.0676221251488","29437","24","28"
"3679","2019-09-01 06:11:14.7050","1","Bergen Ave","40.722103786686","-74.0714550018311","29437","14","11"
"3203","2019-09-01 06:37:06.2400","0","Hamilton Park","40.727595966","-74.044247311","29521","80","81"
"3639","2019-09-01 06:40:45.9690","0","Harborside","40.7192517","-74.034234","26269","17","14"
"3205","2019-09-01 06:45:46.8500","1","JC Medical Center","40.7165397809919","-74.0496379137039","29521","16","15"
"3203","2019-09-01 06:46:00.6450","0","Hamilton Park","40.727595966","-74.044247311","26297","79","81"
"3191","2019-09-01 06:49:39.3800","0","Union St","40.7182113","-74.0836394","29264","10","10"
"3193","2019-09-01 06:49:57.0580","0","Lincoln Park","40.7246050998869","-74.0784059464932","29578","10","11"
"3639","2019-09-01 06:55:53.2980","1","Harborside","40.7192517","-74.034234","26297","18","14"
"3192","2019-09-01 06:56:20.4860","1","Liberty Light Rail","40.7112423","-74.0557013","26269","26","24"
"3207","2019-09-01 06:56:40.2930","0","Oakland Ave","40.7376037","-74.0524783","29569","24","24"
"3195","2019-09-01 06:57:22.1120","1","Sip Ave","40.7308970978618","-74.0639126300812","29578","39","38"
"3192","2019-09-01 06:58:41.5280","0","Liberty Light Rail","40.7112423","-74.0557013","29654","25","24"
"3195","2019-09-01 07:00:28.3440","1","Sip Ave","40.7308970978618","-74.0639126300812","29264","40","38"
"3205","2019-09-01 07:01:00.2990","0","JC Medical Center","40.7165397809919","-74.0496379137039","26281","15","15"
"3186","2019-09-01 07:04:31.3440","1","Grove St PATH","40.7195861164717","-74.0431174635887","26281","11","10"
"3199","2019-09-01 07:06:16.5490","1","Newport Pkwy","40.7287448","-74.0321082","29569","12","13"
"3276","2019-09-01 07:10:23.4510","0","Marin Light Rail","40.7145840353589","-74.042817056179","26273","28","33"
"3483","2019-09-01 07:12:37.9310","0","Montgomery St","40.71942","-74.05099","26170","10","11"
"3199","2019-09-01 07:13:28.4090","0","Newport Pkwy","40.7287448","-74.0321082","29551","11","13"
"3186","2019-09-01 07:13:47.8720","1","Grove St PATH","40.7195861164717","-74.0431174635887","26273","12","10"
"3186","2019-09-01 07:15:57.6180","1","Grove St PATH","40.7195861164717","-74.0431174635887","26170","13","10"
"3203","2019-09-01 07:18:24.3800","0","Hamilton Park","40.727595966","-74.044247311","29522","78","81"
"3211","2019-09-01 07:20:28.7740","1","Newark Ave","40.72152515","-74.046304543","29551","22","20"
"3192","2019-09-01 07:22:34.9100","1","Liberty Light Rail","40.7112423","-74.0557013","29654","26","24"
